modelo,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8538135593220338,0.0,0.0,0.0,0.8961772215629158
Decision Tree,0.8601694915254238,0.5189873417721519,0.5942028985507246,0.5540540540540541,0.8425576293738988
